# {{@@ env['dotdrop_warning'] @@}}
Abend%βράδυ, βραδιά
Frau%κυρία, γυναίκα
Freiheit%λευτεριά
Freundschaft%φιλία
Freund%φίλη
Friede%ειρήνη
Frost; Eis%πάγος
Frucht%οπωρικά
Frühe, Morgen%πρωινό
Frühstück%πρόγευμα
fünfzehn%δεκαπέντε
Gaul, Pferd%άλογο, ίππος
Geburtstag%γενέθλια
Gefängnis, Verlies%φυλακή
Geist, Intellekt, Verstand; Intelligenz%νοημοσήνη
Geld%λεπτά, νόμισμα, χρήμα
Gemüt, Herz%καρδιά
Geschwister%αδέλφια
Gesetz%νομική
gestern%εχθές, χθές
Graben, Kanal%διώριγα, κανάλι
Gramm%γραμμάριο
Grieche%Ρωμιός, Γραικός
Grippe%γρίππη
Großmutter%γιαγιά, μάμμη
Guten Morgen%καλημέρα
Guten Tag; Guten Abend%καλησπέρα
Hahn%κόκορας
Halbinsel%χερσόνησος
Hammel, Schaf%πρόβατο
Handtuch%προσόψι
hässlich%δυσειδής
Haut%πέτσα
Henne%κόττα
Holländer; Niederländer%Ολλανδέζος
holländisch; niederländisch%ολλανδικός
Holland; Niederlande, die Niederlande%Ολλανδία
Hose%πανταλόνι
Hospital, Krankenhaus; Hospiz%νοσοκομείο
Hund%σκυλί
irre, toll, verrückt, wahnsinnig%μουρλός, τρελός
Journalist%δημοσιογράφος, αρθρογράφος
Juni%Ιούνιος
Kalbfleisch; Kalb%μοσχάρι
Kaninchen%κουνέλι
Käse%τυρί
Katze%γάτα
Keller%κελλάρι
Kellner%γκαρσόνη, σερβιτόρος
Kette%αλυσίδα
Kilometer%χιλιόμετρο
Kirche%εκκλησία
Kirsche%κεράσι
Knie%γόνατο
Kohl%λάχανο
Konfitüre, Marmelade%μαρμελάδα
Königin%βασίλισσα
König%ρήγας, βασιλέας
Kopfschmerzen%πονοκέφαλος
Körper, Leib%κουφάρι, κορμί
kräftig, stark%δυνατός
Kraftmehl, Stärke%άμυλο
Kreis%κύκλος, γύρος
Lamm%αμνός
Lampe%φανάρι, λάμπα
Landschaft%τοπίο
Leder%πέτσινος
Lehrer; Professor%καθηγητής
Lichtbild, Bild, Foto%φωτογραφία
Liebe%αγάπη
Limonade%λεμονάδα
Luft%αέρας
Mädchen%νέα, κοπέλλα
Mai%Μάιος, Μάης
Mathematik%μαθηματικά
Meer, See%θάλασσα, πόντος
Mehl%αλεύρι
Menschheit%ανθρωπότης
Messer%μαχαίρι
Metall%μέταλλο
Milch%γάλα
Minister%υπουργός
Mitte, Mittel%μέση
modern%μοντέρνος
Monat%μην, μήνας
Motor%κινητήρας
Musik%μουσική
Mutter%μητέρα
Mut%γενναιότητα, ανδρεία
Nachmittag%απόγεμα
Nacht%νύχτα
Nebel%ομίχλη, πούσι
nein, nicht%όχι
neunzig%ενενήντα
Nichte%ανεψιά
nie, niemals, nimmer%ουδέποτε
nirgends%πουθενά
November%Νοέμβριος, Νοέμβρης
Ohr%ους, αυτί
Ort, Stadt%πόλη, άστυ
Ostern%Λαμπρηή, Πάσχα
Österreicher%Αυστριακός
Papier%χάρτης
Park%πάρκο
Pfeffer%πιπεριά, πιπέρι
Pfund; Liter%λίτρα
Polen%Πολωνία
Polizei%αστυνομία
Portugal%Πορτογαλία
Portugiese%Πορτογάλος
portugiesisch%πορτογαλικός
Quelle%πηγάδι, πηγή
Regenschirm%ομπρέλλα
Reisende%ταξιδιώτης, οδοιπόρος
Richter%κριτής
Rindfleisch%βοδινό
Ring%δακτυλίδι
Roman%μυθιστόρημα
rot%ερυθρός, κόκκινος
Russe%Ρώσος
Sabbat; Samstag, Sonnabend%Σάββατο
Salz%αλατίζω
Sandwich%σάντουιτς
Schatten%σκιά, ίσκιος
Schinken%ζαμπό
Schlafzimmer%κοιτώνας, δωμάτιο, κρεββατοκάμαρα
Schlaf%ύπνος
Schlüssel%κλειδί
schmal%στενός
Schuh%παπούτσι
Schweden%Σουηδιαα
Schwein%χοίρος, γουρούνι
schweizerisch%ελβετικός
sechzehn%δεκαέξι
See%λίμνη
sehr%λίαν
September%Σεπτέμβρος, Σεπτέμβριος
siebzehn%δεκαεπτά
Signal%σύνθημα
Soldat%στρατιώτης, οπλίτης
Sommer%καλοκαίρι
Sonne%ήλιος
Sonntag; Sabbat; Samstag, Sonnabend%Κυριακή
Spanien%Ισπανία
spanisch%ισπανικός
Spiegel%καθρέφτης
Staat%πολιτεία
Stern%άστρο, αστέρι
Stiege, Treppe; Leiter%κλίμακα
Straße; Bahn, Chaussee, Strecke, Weg%δρόμος
Straßenbahn%τράμ
Strömung%ρέω
Sturm; Orkan%τρικυμία
Süden%νότος, νοτιά
Suppe%σούπα
täglich%καθημερινός
Tante%θεία
Tanz; Chor, Sängerchor%χορός
Taxe, Taxi%ταξί
Teppich%χαλί, ταπέτο
Teufel%Σατανάς
Theater%θέατρο
Tochter; Mädchen; Jungfrau%κόρη
Tochter%θυγατέρα
Tod%χάρος, θάνατος, θανή
Tomate%ντομάτα
Tourist%τουρίστας
Traube, Weintraube%σταφύλι
Uhr%ρολόι
Verwundung, Verletzung, Wunde%λαβωματιά, πληυή
vierzig%σαράντα
Vogel%πουλί, πτηνό
Wärme%ζεστασιά, ζωηρότητα, ζέστη, θερμότητα
Wasser%νερό, ύδωρ
Weihnachten%Χριστούγεννα
Wein%οίνος, κρασί
weiß%λευκός, άσπροσ
Weizen%σιτάρι
willkommen%καλωσορίζω
Wind%άνεμος
Woche%εβδομάδα
Wolke%σύννεφο, νέφος
Wolle%μαλλί
Zahnarzt%οδοντίατρος
Zeit%χρόνος
Ziege%τράγος
Zigarette%σιγαρέτο, τσιγάρο
Zoll%ίντσα
Zucker%ζάχαρη
zwanzig%είκοσι
Abgrund, Tiefe%άβυσσος, βάραθρο
Abstand, Entfernung, Weite%απόσταση
Abzeichen, Emblem, Sinnbild; Mark, Marke; Anzeichen, Kennzeichen, Merkzeichen, Wink, Zeichen; Symbol%σύμβολο
Affe%μαϊμού, πίθηκος
Afrikaner%Αφρικανός
Ägypten%Αίγυπτος
Alkohol, Spritus%οινόπνευμα
allerdings, freilich, immerhin, ja, ja doch, wohl, zwar%ναι
Allergie%αλλεργία
Alphabet%αλφάβυτο, αλφάβητο
Ameise%μυρμήγκι
Analyse, Untersuchung%ανάλυσον
Angewohnheit, Brauch, Gebrauch, Gepflogenheit, Gewohnheit, Usus; Tradition, Überlieferung%έθιμο
Angewohnheit, Brauch, Gebrauch, Gepflogenheit, Gewohnheit, Usus%έξη, φυσικό
Anklage, Beschuldigung; Kategorie; Klasse%κατηγορία
Ankläger%κατήγορος
Ansicht, Bild; Ikone%εικόνα
Anstalt, Ort, Platz, Stelle; Fleck, Stätte, Terrain; Position%τόπος
Aprikose, Marille%βερίκοκκο
arabisch%αραβικός
Archäologie%αρχαιολογία
Architekt, Baumeister%αρχιτέκτων
Armband%βραχιόλι
Artist, Künstler%καλλιτέχνης
Aschenbecher; Untertasse%τασάκι
Astronaut, Weltraumfahrer%αστροναύτης
Astronomie, Himmelskunde, Sternkunde%αστρονομία
Astronom, Sternforscher%αστρονόμος
As%άσσος
Atem, Hauch%αναπνοή, χνώτο, ανάσα
Aufzug, Fahrstuhl, Lift%ασανσέρ
Augenbraue; Stirn%μέτωπο
aus welchem Grunde, warum, weshalb, weswegen, woher%γιατί
automatisch, selbsttättig, zwangsläufig%αυτόματος
Bach%ρυάκι
Baracke, Zelt%τέντα
Bär%αρκούδα
Bedrohung, Drohung%απειλή
beherzt, dreist, getrost, mutig, tapfer%γενναίος, ανδρείος
Berühmtheit%δόξα
Besen%σκούπα
Biene%μέλισσα
Bild, Bildnis, Porträt%πορτραίτο
Bildsäule, Standbild, Statue%άγαλμα
Billett, Fahrkarte, Karte%ειστήριο
Biographie%βιογραφία
Birne%αχλάδι
Bischof%επίσκοπος
blau; azurn%γαλάζιος
blind%τυφλός
Blitz%αστραπή
Brühe, Sauce, Soße, Tunke%σάλτσα
Brust, Busen%βηζί
Büchse, Schachtel; Behälter, Besteck, Krug%κουτί, κάσσα
Buddhist%βουδδιστής
Bulgarien%Βουλγαρία
Bürgersteig, Gehweg%πεζοδρόμιο
Chemie%χημεία
Chor, Sängerchor%χορωδία
Christentum%χριστιανισμός
Christus%Χριστός
Dampf%αχνός, υδρατμός, ατμός
Dativ%δοτική
Daumen%αντίχειρας
Decke, Deckel, Umschag, Verdeck%καπάκι
Denker, Philosoph%φιλόσοφος
Dialekt, Mundart; Idiom%ιδίωμα
Dialekt, Mundart%διάλεκτος
Diät%δίαιτα
Diebstahl%κλοπή, κλέψιμο
Diplom, Prüfungszeugnis, Urkunde%δίπλωμα, πτυχίο
Dokument, Urkunde%έγγραφο
Donner%βροντή
Draht%σύρμα
Dreieck%τρίγωνο
Durchmesser%διάμετρος
Dutzend%δωδεκάδα, ντουζίνα
Ebene%πεδίο
Ehemann, Gemahl, Gatte; Mann%άντρας
eisern, aus Eisen%σιδερένιος
Eis, Gefrorenes, Speiseeis%παγωτό
Elefant%ελέφας
elektrisch%ηλεκτρικός
Ellbogen%αγκώνας
Energie, Tatkraft, Willenskraft%ενέργεια
Erdbeben%σεισμός
Erdbeschreibung, Erdkunde, Geographie%γεωγραφία
Ernte, Lese; Sommer%θέρος
Essig%ξύδι
eventuell, möglicherweise, vielleicht, wohl; als ob, gleichsam; anscheinend, dem Anschein nach, scheinbar%τάχατες, τάχα
Explosion%ανατίναξη, έκρηξη
Fahrrad, Rad%ποδήλατο
Falter, Schmetterling%πεταλούδα
Feind%εχθρός
Feldherr, General%στρατηγός
Ferientag, freier Tag%σκόλη
Ferse, Hacke%τακούνι, φτέρνα
Fichte, Tanne%έλατο
Finnland%Φινλανδία
Fliege%μύγα
Forelle%πέστροφα
Fräulein%δεσποινίς
fröhlich, heiter, lustig, vergnügt%περιχαρής
Frühjahr, Frühling, Lenz%άνοιξη
Fürwort, Pronomen%αντωνυμία
Fußgänger%πεζός
Gage, Gehalt%μισθός
Gans%χήνα
ganz, total%συνολικός
Gardine, Vorhang%κουρτίνα, παραπέτασμα, αυλαία
Gas%αέριο
Gebein, Knochen%κόκκαλο, οστούν
geheim, heimlich, verborgen, verstohlen%απόρρητος
Geheimnis, Hehl%μηστήριο, μυστικό
geheimnisvoll, mysteriös%μυστήριος, μυστηριώδης
Gehirn, Hirn%εγκέφαλος
Generation, Geschlecht; Rasse%γενεά
Genus verbi, Zustandsform, Rede, Stimme%λαλία
Geologie%γεωλογία
Geometrie%γεωμετρία
Geschichte, Historie; Erzählung%ιστορία
Gesellschaftshaus, Kasino; Klub%λέσχη
Gewinn, Überschuss, Verdienst, Vorteil%απολαβή
gewiss, sicher, bestimmt, zuversichtlich%σίγουρος
Gift%φαρμάκι
gleich, sofort, umgehend, sogleich%αμέσως
Glied, Teil, Stück, Brösel, Ära, Korn, Span, Zeitalter, Zeitrechnung, Tropfen; Bruch, Bruchstück, Fragment%τρίμμα
göttlich; Onkel; heilig%θείος
göttlich%θεϊκός
Gummi%λάστιχο
Gurt, Gürtel; Taille, Breite, Zone (einer Kugel)%ζωνάρι
Hammer%σφυρί
Hauptwort, Substantiv%ουσιαστικό
Hausfrau, Frau des Hauses%νοικοκηρά
Haus; Heim%οικία
Hebräer, Jude%Εβραίος
hebräisch; jüdisch%εβραϊκός
Heimat, Vaterland%πατρίδα
herb, sauer%όξινος
historisch%ιστορικός
Hubschrauber%ελικόπτερο
Hüfte%ισχίο
Huf%οπλή
hungrig%νηστικός
Hymne, Lobgesang%ύμνος
hysterisch%υστερικός
Inder%Ινδός
Index, Register, Verzeichnis; Katalog%ευρετήριο
Indien%Ινδία
Indonesien%Ινδονησία
indonesisch%ινδονησιακός
iranisch; persisch%περσικός
Iran, Persien%Ιράν
irdisch, terrestrisch%γήινος
Ire%Ιρλανδός
Ironie%ειρωνεία
israelisch%ισραηλινός
Israel%Ισραήλ
Jahreszeit, Saison%σαιζόν
Japan%Ιαπωνία
jeder, ein jeder, jedermann, jeglicher%κάθε
Jugoslawien%Γιουγκοσλαβία
Jungfrau%παρθένος
Jux, Scherz, Spaß%χωρατό, αστείο, καλαμπούρι
Kanada%Καναδας
Kanapee; Sofa, Couch%καναπές
Kanne, Krug; Behälter, Besteck%κανάτα
Katalog, Verzeichnis; Liste%κατάλογοσ, λίστα
Katastrophe%καταστροφή
Keim%σπέρμο
Kiefer%πεύκο
Kinn%πηγούνι, σαγόνι
Kirche; Tempel%ναός
Kissen%μαξιλάρι
Klampfe, Gitarre%κιθάρα
Knecht, Sklave%δούλος, δούλη, σκλάβος
Komma%υποδιαστολή, κώμα
Kruzifix; Kreuz%σταυρός
Lachs%σολομός
Lastauto, Lastkraftwagen, LKW%καμιόνι
Latein%λατινικά
Leben%ζωή, βίος
Leber%ήπαρ, σηκώτι
lieb, teuer, wert%ακριβός
Löwe%λεοντάρι, λιοντάρι
Lunge%πνεύμονας
Mädchen; Jungfrau%κορίτσι
Mama, Mütterchen%μαμά, μανούλα
Mandarine%μανταρίνι
Mantel, Überrock, Überzieher; Buchse, Sakko, Klinke, Jackett%σακάκι
Marmor%μάρμαρο
Maske%μάσκα, προσωμείο
mathematisch%μαθηματικός
Maus; Ratte%ποντικός
Mediterran; Mittelmeer%Μεσόγειος
Medizin, Arznei, Heilmittel; Medikament%ιατρική
Melodie, Weise%μελωδία
Methode; System%μέθοδος
Metropole; Hauptstadt%μητρόπολη
Mikrophon%μικρόφωνο
Möglichkeit%δυνατότητα
Monopol, Alleinverkauf, Alleinvertrieb%μονοπωλώ
morgen%αύριο
Moslem%μωαμεθανός
musikalisch%μουσικός
Muskel%μυς
Nagel%νύχι
naiv%απλοϊκός
Niere%νεφρό
Nonne%μοναχή, καλόγρια
nördlich%βόρειος
norwegisch%νορβηγικός
obgleich, obschon, wenn auch, zwar%καίτοι
offenbar; ausdrücklich%σαφώς
oh!%ω, αχ
Oper%όπερα
Opfer%θύμα
Papst%Πάπας
Periode; Zeit; Wetter, Witterung%καιρός
Pflaume%δαμάσκηνο
Pfund%λίβρα
Philosophie%φιλοσοφία
physikalisch, physisch%φυσικός
Pistole%πιστόλι
Polizist, Schutzmann%αστυνόμος
populär, volkstümlich%δημοφιλής
Posaune%τρομπόνι
Präsident, Vorsitzender%πρόεδρος
Priester%πασοφόρος, παπάς, ιερέας
Psychiater, Nervenarzt%ψυχίατρος
psychisch, seelisch%ψυχικός
Psychologe%ψυχολόγος
Psychologie%ψυχολογία
reichlich%άπλετος
Rhythmus%ρυθμός
Rind%βόδι
romantisch%ρομαντικός
Roman%Ρομαίος
Rom%Ρώμη
Rücken; Rückgrat; Wirbelsäule%ράχη
Rumänien%Ρουμανία
Sauerstoff%οξυγόνο
Schlafanzug%πυτζάμα
Schlange%φίδι
schlank%σβέλτος
Schmerz, Weh%πόνος
Schminke%καλλυντικά
Schnecke; Schraube%κοχλίας
Schnecke%σάλιαγκας
Schneider%ραπτικά
Schnurrbart%μουστάκι
Schönheit%κάλλος, καλλονή, ομορφιά
Schreibtisch%γραφείο
Schuhmacher, Schuster%τσαγκάρης
Schwager%κουνιάδος, μπατζανάκης
Schweden%Σουηδία
Schwede%Σουηδός
schwedisch%σουηδικός
Schweiz, die Schweiz%Ελβετία
Schwiegermutter%πεθερά
Schwiegervater%πεθερός
Seemann%ναύτης
Seide%μετάξι
Seminar%σεμινάριο
Senf%σινάπι, μουστάρδα
Sklaverei%δουλεία
Stahl%ατσάλι
steinern%λίθινος
sterblich; gestorben, tot, verstorben%νεκρός
südlich%νότιος
Sünde%αμαρτάνω
Takt%τάκτ
Taube%περιστέρι
taubstumm%κωφάλαλος
Teer; Pech%πισσώνω
Telegramm%τηλεγράφημα
Telephon%τηλέφωνο
Tennis%τένις
Text, System, Kodex, Kennung, Gesetzbuch, Geheimtext, Alphabet, Code, Kode%κώδικας
Text%κείμενο
Theologie%θεολογία
theologisch%θεολογικός
Theorie%θεωρία
Tiefe%βαηίτητα
Tiefe%βαθύτητα
Traktor%τρακτέρ
Trompete%σάλπιγκα, τρομπέτα
Trost%παρηγοριά
Türkei, die Türkei%Τουρκία
Unkosten; Preis; Bedeutung, Geltung, Wert%τίμημα
Unterarm; Arm%βραχίονας
Unterarm%ωλένη
Verb, Zeitwort; Vokabel, Wort%ρήμα
Verdauung%πέψη
Vereinigten Staaten, Vereinigte Staaten, Vereinigte Staaten von Amerika%Αμερική, Ηνωμένες Πολιτείες Αμερικής
(Vogel) Strauß%στρουθοκάμηλος
Vokal%φωνήεν
vorgestern%προχθές
Wachs%κερί
Walzer%βάλς
Wasser...%υδρόβιος
Welle, Woge%κύμα
Winkel, Ecke%γωνία
wissenschaftlich%επιστημονικός
Wörterbuch%λεξικό
Wurst%λουκάνικο
Wurzel%ρίζα
zehntausend%μύριοι
Ziege, Zicke%κατσίκα
Zigarre%πούρο
Zitrone(nbaum); Zitronenbaum%λεμονιά
Zoologie%ζωολογία
zu Fuß%πεζή
zweimal%δίς
Zwielicht; Dämmerung; Tagesanbruch%γλυκοχάραγμα
Zwielicht; Dämmerung%ημίφως
Aal%χέλι
Abgott, Götze, Idol%είδωλο
Abort, Abtritt%καμπινές, αποχωρητήριο, τουαλέτα
Abszess, Eiterbeule, Geschwulst%απόστημα
Achse%άξονας
Ackerbau%γεωπονία
Admiral%ναύαρχος
After, Hintern; Gesäß%κώλος
After, Hintern%πρωκτός
Ägypter%Αιγύπτιος
ägyptisch%αιγυπτιακός
Akazie%ακακία
Akrobat%ακροβάτης
Alabaster%αλάβαστρο
Albaner%Αλβανός
Albanien%Αλβανία
albanisch%αλβανικός
Algebra%άλγεβρα
Algerien%Αλγερία
Algerier%Αλγερινός
algerisch%αλγερίνικος
allerdings, freilich, gewiss, immerhin, wohl, zwar%σίγουρα
Alpdrücken%εφιάλτης
Alpha%άλφα
Altar%βωμός
Amboss%αμόνι
Amnestie, Begnadigung, Straferlass%αμνηστία
Amphitheater%αμφιθέατρο
Amulett; Talisman%φυλαχτό
Ananas%ανανάς
Anarchie%αναρχία
Anatomie, Zergliederungskunst%ανατομία
Anchovis; Sardelle%σαρδέλα
Anchovis%αντζούγια
Anemone, Windröschen, Küchenschelle%ανεμώνα
Anker%άγκυρα
Ansiedlung, Kolonie%αποικία
Anzug, Gewand, Kostüm, Tracht; Uniform%στολή
Apathie, Teilnahmslosigkeit%απάθεια
Apfelwein, Obstwein, Zider%μηλίτης
Apostroph, Auslassungszeichen%απόστροφος
Apotheker%φαρμακοποιός
Aquädukt%υδραγωγείο
Archäologe, Altertumswissenschaftler%αρχαιολόγος
arktisch, nordpolar%αρκτικός
Armenier%Αρμένης
Artischocke%αγκινάρα
Asbest%αμίαντος
Asche%στάκτη, τέφρα
Asphalt, Erdpech; Drehorgel, Leierkasten%κατράμι
Asphalt, Erdpech; Teer%πίσσα
Asphalt, Erdpech%άσφαλτος
Asthma%άσθμα
Astrologie, Sterndeutung%αστρολογία
Asyl, Zufluchtsstätte, Zufluchtsort, Freistatt%ασυλία
Athlet%αθλητής
Augenbraue%φρύδι
Augenlid%ματόφυλλο, βλέφαρο
Ausflucht%κόλπο
Ausperrung, Boykott%αποκλεισμός
Auster%στρείδι
Australier%Αυστραλός
australisch%αυστραλιακός
Autopsie, Obduktion%νεκροψία
Axt, Beil, Hacke%τσεκούρι, μπαλντάς
Backe, Wange%μάγουλο
Bajonett; Lanze, Speer%λόγχη
Bajonett%ξιφολόγχη
Ballett%μπαλέτο
Ballon, Luftballon%αερόστατο
Ballon%μπαλόνι
Bandit, Räuber; Freibeuter, Wegelagerer%ληστής
Barometer%βαρόμετρο
Bastard, Mischling%μπάσταρδος
Bauch, Unterleib%κοιλιά
Bauer, Käfig%κλουβί
Behälter, Gefäß, Vase%βάζο
Beischlaf, Koitus; Kopulation, Befruchtung, Begattung, Paarung%συνουσία
Bergwerk%ορυχείο, μεταλλείο
Beton%μπετό
Bibliographie%βιβλιογραφία
Bienenschwarm; Bienenkorb, Bienenstock%μελίσσι
Bigamie%διγαμία
Birke%οξυά
Blindheit%τύφλα
Blödsinniger, Idiot, Stumpfsinniger%χάχας
Blumenkohl%κουνουπίδι
Bordell%πορνείο, οίκος ανοχής
Brigade%ταξιαρχία
Brombeere%βατόμουρο
Bronze, Erz%μπρούντζος
Brunnen, Fontäne, Springbrunnen%κρήνη
Buchstabe, Letter, Type%γράμμα
Büffel%βουβάλι
Bulgare%Βουλγαρός
bulgarisch%βουλγαρικός
Bürokratie%γραφειοκρατία
Chirurg; Wundarzt%χειρουργός
Chloroform%χλωροφόρμιο
Chlorophyll%χλωροφύλλη
Chlor%χλώριο
Cholera%χολέρα
Couch, Divan, Ruhelager%ντιβάνι
Daktylus, Dattel%χουρμάς
Dämon%δαίμων
Dampfer%βαπόρι, ατμόπλοιο
Däne%Δανός
Dauerwurst, Rotewurst, Salami%σαλάμι
Decke, Zimmerdecke%ταβάνι
Delphin%δελφίνι
Delta%δέλτα
demokratisch; Republik-, republikanisch%δημοκρατικός
Demokrat%δημοκράτης
Denkmal, Monument%μνημείο
Diadem%στέμμα
Dialog, Zwiegespräch%διάλογος
Diamant%καρρό
Diarrhö, Durchfall%τσίρλα, διάρροια
Diphtherie%διφθερίτιδα
Diphtong, Zwielaut%δίφθογγος
Diplomat%διπλωμάτης
Dogma, Glaubenssatz%δόγμα
Dolch; Stilett%στιλέτο
Dorn, Stachel%αγκάθι
Dorn, Stachel%κεντρί
Dorsch, Kabeljau%μουρούνα, βακαλάος, γάδος
Drache%δράκος
Drachme; Frank%φράγκο
Drachme%δραχμή
Drama, Schauspiel%δράμα
Dreck, Unrat%λέρα
Dreiecks-(matrix)%τριγωνικός
Dromedar%δρομάς
Dschungel%ζούγκλα
Duell%μονομαχία
Dunkelheit%σκότος, σκοτάδι
Dusche, Sturzbad%ντούς
Dynamit%δυναμίτιδα
Dynamo%δυναμό
Dynastie, Herrschergeschlecht%δυναστεία
Eck..., Winkel...%γωνιακός
Efeu%κισσός
Eichel%βάλανος, βαλανίδι
Eiche%βαλανιδιά, δρύς
Eichhörnchen%σκίουρος
Eidechse%σαύρα
Eid%όρκος
einsichtsvoll, intelligent, verständig%νοήμων
eintönig, monoton%μονότονος
Eisberg, Gletscher%παγόβουνο, παγετώνας
Eisenbergwerk, Eisengrube%σιδηρωρυχείο
Eisvogel%αλκυόνα
elegant, geschmackvoll%γλαφυρός
Elektron%ηλεκτρόνιο
elementar%βασικός
Elster%δρυοκολάπτης
Embryo%έμρυο
Endivie%αντίδι
Engel%άγγελος
Enzyklopädie%εγκυκλοπαίδεια
Erbse%μπιζέλι
Erdbeere%φράουλα
Erdschwamm, Pilz%μύκητας
Erfolg, Gelingen%επιτυχία
Erzbischof%αρχιεπίσκοπος
Erzvater, Patriarch%πατριαρχείο
Erz%μετάλλευμα
Ethymologie%ετυμολογία
Eukalyptus%ευκάλυπτος
Eule%κουκουβάγια, γκιώνης
Fabel; Legende; Mythus%μύθος
Fasan%φασιανός
Fasching, Fastnacht, Karneval%καρναβάλι
Faschismus%φασισμός
Faschist%φασιστικός
Fehler, Irrtum, Versehen%φταίξιμο, λάθος
Fehlgeburt%αποβολύ
Feigenbaum%συκιά
Feige%σύκο
Fels, Felsen, Steinmasse%βράχος
Ferkel%γρύλλος
Filiale, Nebengeschäft, Zweigniederlassung%υιός
finnländisch%φινλανδικός
Flachs, Lein, Leinpflanze%λινάρι
Fledermaus%νυχτερίδα
Flieder%πασχαλιά
Flugplatz%αερολιμένας, αεροδρόμιο
Flusspferd%ιπποπόταμος
Formel%συνταγή
Frau, Gemahlin%συμβία
Freimaurer%μαςόνος
Friedhof, Gottesacker, Kirchhof%νεκροταφείο, κοιμητήριο
Fuchs%αλεπού
Funke%αναπτήρας
Galle%χολή
Gänseblümchen, kleines Maßlieb, Marienblume%μαργαρίτα
Gärtner%κηπουρός
Gasse%σοκάκι, στενωπός
Gebärmutter, Uterus%μήτρα
Gebein, Gerippe, Knochengerüst, Skelett%σκελετός, σκέλεθρο
Gedicht%ποίημα
Geheimnis, Mysterium%μυστήριο
Geist, Gespenst, Phantom, Spuk%φάντασμα, στοιχειό, φάσμα
Gelöbnis, Versprechen, Zusage%υπόσχεση
Geograph%γεωγράφος
Geologe%γεωλόγος
gesund, heil%υγιεινός, υγιής
Getränk, Trank%ποτό
Gigant, Riese%γίγας, κολοσσός
Giraffe%καμηλοπάρδαλη
Gnade, Gunst, Vergünstigung%ευνοώ
Gorilla%γορίλλας
Göttin%θεά
Götzendiener; Heide%ειδωλολάτρης
Grab, Gruft%τύμβος, τάφος, μνήμα
Graf%κόμης
Grammatik, Sprachlehre%γραμματική
Granit%γρανίτης
Grashüpfer, Heuschrecke; Wanderheuschrecke%ακρίδα
Gras; Kraut%χόρτο
Gräte%ψαροκόκαλο
Greis%γέρος
Gurke%αγγούρι
Habicht%γεράκι
Hafer%βρώμη
Hagel%χαλάζι
Hai, Haifisch%καρχαρίας
